amount,hour,day_of_week,merchant_cat,merchant_risk_score,is_new_merchant,txn_per_day,avg_amount_7d,device_change,location_change,failed_txn_count,city,bank,is_weekend,is_fraud,txn_id,amount_to_avg_ratio,txn_date
231.36,20,1,grocery,0.05,0,2,880.97,0,1,0,Mumbai,ICICI,0,0,TXN0017933,0.262,2024-01-13
745.9,7,1,transport,0.08,0,4,1297.09,0,0,0,Kolkata,Kotak,0,0,TXN0033608,0.575,2024-01-24
415.95,8,2,utility,0.04,0,3,652.3,0,0,0,Mumbai,ICICI,0,0,TXN0049959,0.637,2024-02-04
779.32,15,0,food,0.07,1,3,425.48,0,0,0,Delhi,ICICI,0,0,TXN0066598,1.827,2024-02-16
181954.14,3,5,travel,0.25,1,9,233.33,0,1,4,Delhi,SBI,0,1,TXN0099089,776.487,2024-03-09
413.78,16,4,grocery,0.05,1,5,929.61,0,0,2,Chennai,Yes Bank,1,0,TXN0034451,0.445,2024-01-24
12942.91,22,6,other,0.12,1,2,1891.35,0,0,2,Mumbai,SBI,0,0,TXN0034080,6.84,2024-01-24
1397.11,19,4,grocery,0.05,1,1,1030.09,0,0,1,Kolkata,Yes Bank,0,0,TXN0063587,1.355,2024-02-14
539.07,14,5,other,0.12,0,4,1205.06,0,0,0,Delhi,Axis,1,0,TXN0004293,0.447,2024-01-03
350.38,19,0,grocery,0.05,1,4,1309.56,0,0,0,Pune,Yes Bank,0,0,TXN0069102,0.267,2024-02-17
503.98,20,2,food,0.07,0,1,1365.99,0,0,0,Hyderabad,Axis,1,0,TXN0086411,0.369,2024-03-01
5000.0,4,4,travel,0.25,1,7,322.01,1,1,3,Pune,Yes Bank,1,1,TXN0099476,15.479,2024-03-10
6809.33,14,6,entertainment,0.22,0,1,1316.64,0,0,0,Ahmedabad,SBI,0,0,TXN0053929,5.168,2024-02-07
1530.41,11,5,food,0.07,0,3,832.19,0,0,0,Pune,Axis,1,0,TXN0087070,1.837,2024-03-01
615.8,9,4,utility,0.04,0,1,1494.1,0,0,0,Mumbai,Axis,0,0,TXN0065083,0.412,2024-02-15
216.29,15,2,entertainment,0.22,0,1,1723.5,0,0,0,Delhi,Kotak,0,0,TXN0030712,0.125,2024-01-22
920.51,9,5,transport,0.08,0,5,714.64,0,0,0,Hyderabad,Axis,0,0,TXN0049182,1.286,2024-02-04
2851.32,22,6,food,0.07,0,4,1828.7,0,0,0,Kolkata,ICICI,0,0,TXN0057234,1.558,2024-02-09
154.23,11,0,food,0.07,1,2,1842.28,0,0,0,Pune,HDFC,0,0,TXN0015663,0.084,2024-01-11
779.27,10,5,healthcare,0.06,0,3,1382.27,0,0,0,Pune,HDFC,0,0,TXN0019966,0.563,2024-01-14
692.09,14,3,grocery,0.05,0,5,254.86,0,0,0,Chennai,Yes Bank,0,0,TXN0091912,2.705,2024-03-04
414.36,17,5,transport,0.08,0,4,667.77,0,0,0,Delhi,Yes Bank,0,0,TXN0091957,0.62,2024-03-04
1223.55,7,0,education,0.03,1,3,517.5,0,0,0,Chennai,SBI,1,0,TXN0081346,2.36,2024-02-26
3231.71,12,0,education,0.03,0,5,3156.34,0,0,0,Mumbai,ICICI,0,0,TXN0055325,1.024,2024-02-08
864.1,9,5,grocery,0.05,0,4,4701.55,0,0,0,Bengaluru,SBI,0,0,TXN0029857,0.184,2024-01-21
443.28,8,2,utility,0.04,1,1,8342.75,0,0,1,Mumbai,HDFC,1,0,TXN0071222,0.053,2024-02-19
21529.09,7,4,food,0.07,0,1,2244.81,0,0,0,Hyderabad,SBI,1,0,TXN0052458,9.586,2024-02-06
1702.59,12,0,transport,0.08,0,3,744.94,0,0,0,Ahmedabad,SBI,1,0,TXN0088345,2.282,2024-03-02
210.83,19,4,transport,0.08,0,1,551.71,0,0,0,Delhi,Yes Bank,1,0,TXN0082363,0.381,2024-02-27
983.08,16,5,shopping,0.18,0,4,1057.68,0,1,0,Mumbai,HDFC,0,0,TXN0065349,0.929,2024-02-15
2551.28,8,0,transport,0.08,0,3,5121.83,0,0,0,Ahmedabad,HDFC,0,0,TXN0059649,0.498,2024-02-11
238.82,19,1,food,0.07,0,1,1171.14,0,1,0,Kolkata,HDFC,1,0,TXN0044952,0.204,2024-02-01
955.32,18,6,grocery,0.05,1,3,190.32,0,0,0,Pune,SBI,0,0,TXN0039525,4.993,2024-01-28
4315.54,9,1,transport,0.08,0,4,769.56,0,1,2,Pune,SBI,0,0,TXN0013935,5.601,2024-01-10
494.32,11,6,utility,0.04,0,1,1126.08,0,0,0,Mumbai,HDFC,0,0,TXN0093780,0.439,2024-03-06
1844.19,20,5,grocery,0.05,0,5,1253.26,1,0,0,Hyderabad,HDFC,1,0,TXN0089884,1.47,2024-03-03
859.91,9,5,food,0.07,0,4,1547.75,0,0,0,Pune,Yes Bank,0,0,TXN0081143,0.555,2024-02-26
13719.38,5,5,travel,0.25,1,17,956.17,1,0,0,Bengaluru,HDFC,1,1,TXN0095799,14.333,2024-03-07
904.29,10,2,healthcare,0.06,0,5,952.84,0,0,0,Hyderabad,Axis,1,0,TXN0089404,0.948,2024-03-03
262.29,17,5,entertainment,0.22,0,5,352.72,0,0,0,Hyderabad,Axis,0,0,TXN0055223,0.742,2024-02-08
2242.91,19,5,shopping,0.18,0,2,260.81,0,0,0,Chennai,ICICI,0,0,TXN0073645,8.567,2024-02-21
4982.13,12,4,other,0.12,0,2,1500.87,0,0,0,Bengaluru,Kotak,0,0,TXN0066293,3.317,2024-02-16
3261.38,9,2,grocery,0.05,0,1,561.59,0,0,0,Bengaluru,Yes Bank,0,0,TXN0065539,5.797,2024-02-15
1077.88,14,5,travel,0.25,0,5,674.93,0,0,0,Bengaluru,ICICI,0,0,TXN0028110,1.595,2024-01-20
547.2,7,2,grocery,0.05,0,1,113.43,0,0,0,Bengaluru,SBI,0,0,TXN0041928,4.782,2024-01-30
1265.24,9,2,travel,0.25,0,4,1252.46,0,0,0,Pune,Kotak,1,0,TXN0086546,1.009,2024-03-01
729.32,8,1,shopping,0.18,1,1,981.66,0,0,0,Delhi,SBI,0,0,TXN0082585,0.742,2024-02-27
340.2,13,4,other,0.12,0,4,1291.54,0,0,0,Chennai,Axis,0,0,TXN0038603,0.263,2024-01-27
580.56,20,6,entertainment,0.22,1,2,1261.92,0,0,0,Ahmedabad,Kotak,0,0,TXN0091657,0.46,2024-03-04
2174.89,7,4,other,0.12,0,2,705.96,0,0,0,Kolkata,HDFC,0,0,TXN0062786,3.076,2024-02-13
858.55,19,5,healthcare,0.06,0,1,395.87,0,0,0,Kolkata,ICICI,0,0,TXN0084340,2.163,2024-02-28
188.41,16,2,grocery,0.05,0,4,1111.37,0,0,0,Mumbai,Kotak,1,0,TXN0039874,0.169,2024-01-28
156.28,17,6,grocery,0.05,0,1,8568.33,0,0,0,Kolkata,Kotak,0,0,TXN0078468,0.018,2024-02-24
773.05,20,6,travel,0.25,0,2,75.66,0,0,2,Kolkata,ICICI,1,0,TXN0031631,10.084,2024-01-22
494.73,12,0,education,0.03,0,2,873.1,0,0,0,Delhi,Axis,0,0,TXN0014952,0.566,2024-01-11
679.25,22,1,utility,0.04,0,2,7440.52,0,0,0,Chennai,HDFC,0,0,TXN0039331,0.091,2024-01-28
910.18,9,3,utility,0.04,0,1,1558.92,0,0,2,Mumbai,ICICI,0,0,TXN0048587,0.583,2024-02-03
1470.76,20,1,food,0.07,0,1,805.11,0,0,0,Pune,Kotak,0,0,TXN0083594,1.825,2024-02-28
3516.72,10,1,shopping,0.18,0,1,807.66,0,0,0,Kolkata,Axis,1,0,TXN0041487,4.349,2024-01-29
2191.02,16,6,transport,0.08,0,4,440.55,0,0,0,Chennai,Kotak,0,0,TXN0039627,4.962,2024-01-28
1291.29,9,0,healthcare,0.06,1,4,731.02,0,0,0,Chennai,Yes Bank,0,0,TXN0087894,1.764,2024-03-02
1224.17,16,0,transport,0.08,0,4,663.81,0,0,0,Mumbai,SBI,0,0,TXN0026303,1.841,2024-01-19
1518.43,14,5,travel,0.25,1,2,806.82,0,1,0,Chennai,Yes Bank,1,0,TXN0067403,1.88,2024-02-16
52576.14,5,0,transport,0.08,1,5,178.23,1,1,3,Chennai,ICICI,1,1,TXN0098084,293.345,2024-03-09
30159.57,3,5,travel,0.25,1,20,667.38,1,0,2,Bengaluru,ICICI,0,1,TXN0095601,45.123,2024-03-07
926.22,19,5,travel,0.25,0,2,944.8,0,0,0,Hyderabad,ICICI,0,0,TXN0005019,0.979,2024-01-04
280.34,9,0,food,0.07,0,2,852.35,0,0,1,Chennai,Axis,1,0,TXN0005223,0.329,2024-01-04
162.51,16,2,grocery,0.05,0,5,899.02,0,0,0,Pune,SBI,1,0,TXN0015780,0.181,2024-01-11
664.98,18,5,education,0.03,1,2,378.53,0,0,2,Mumbai,Kotak,1,0,TXN0045556,1.752,2024-02-01
3039.68,18,4,utility,0.04,0,4,798.44,0,0,0,Mumbai,Yes Bank,1,0,TXN0012896,3.802,2024-01-09
2890.65,21,3,travel,0.25,0,2,1658.36,0,0,0,Hyderabad,ICICI,0,0,TXN0034304,1.742,2024-01-24
1748.46,17,6,fuel,0.1,0,3,6797.36,0,0,0,Hyderabad,HDFC,1,0,TXN0093322,0.257,2024-03-05
345.31,16,1,grocery,0.05,0,5,1337.18,0,0,0,Ahmedabad,Yes Bank,0,0,TXN0005324,0.258,2024-01-04
2006.2,9,0,shopping,0.18,0,1,375.68,1,0,0,Pune,Yes Bank,0,0,TXN0052925,5.326,2024-02-06
3847.61,20,3,entertainment,0.22,0,3,1081.0,0,0,0,Pune,SBI,0,0,TXN0062864,3.556,2024-02-13
2022.24,8,1,utility,0.04,0,1,1280.48,0,0,0,Pune,SBI,1,0,TXN0008018,1.578,2024-01-06
1328.45,11,1,transport,0.08,0,2,1217.8,0,0,0,Ahmedabad,ICICI,0,0,TXN0082944,1.09,2024-02-27
1971.33,14,5,healthcare,0.06,0,3,930.38,0,0,0,Pune,Yes Bank,0,0,TXN0090376,2.117,2024-03-03
123.85,15,4,food,0.07,0,1,3447.7,0,0,0,Chennai,ICICI,0,0,TXN0041720,0.036,2024-01-29
3329.91,8,6,grocery,0.05,0,4,1234.7,0,0,0,Kolkata,ICICI,1,0,TXN0000866,2.695,2024-01-01
7819.33,1,2,entertainment,0.22,1,15,234.89,1,1,3,Chennai,HDFC,1,1,TXN0098443,33.148,2024-03-09
541.64,20,2,shopping,0.18,0,4,949.17,0,0,0,Pune,Axis,0,0,TXN0083039,0.57,2024-02-27
12538.19,15,1,shopping,0.18,0,5,1051.62,0,0,0,Chennai,SBI,0,0,TXN0013924,11.911,2024-01-10
422.39,16,3,food,0.07,0,2,3217.27,0,0,0,Bengaluru,SBI,0,0,TXN0079892,0.131,2024-02-25
2150.43,10,3,food,0.07,0,2,469.9,0,0,0,Bengaluru,ICICI,0,0,TXN0031183,4.567,2024-01-22
1035.88,22,5,education,0.03,1,2,443.1,0,0,0,Delhi,HDFC,1,0,TXN0013799,2.333,2024-01-10
662.56,10,6,transport,0.08,0,1,1282.36,0,0,0,Pune,ICICI,0,0,TXN0040988,0.516,2024-01-29
1317.2,12,3,utility,0.04,0,3,1070.03,0,0,0,Kolkata,SBI,0,0,TXN0066733,1.23,2024-02-16
2043.35,8,4,shopping,0.18,0,1,442.1,0,0,0,Delhi,Yes Bank,1,0,TXN0078330,4.611,2024-02-24
2693.63,15,4,grocery,0.05,0,1,284.72,0,1,0,Kolkata,Kotak,0,0,TXN0024378,9.428,2024-01-17
4291.2,8,6,shopping,0.18,0,1,1302.35,0,0,0,Kolkata,HDFC,1,0,TXN0023414,3.292,2024-01-17
49765.17,0,6,entertainment,0.22,1,14,514.7,0,0,2,Ahmedabad,Yes Bank,1,1,TXN0097559,96.5,2024-03-08
334.0,14,2,grocery,0.05,1,1,1335.58,0,0,0,Chennai,Kotak,0,0,TXN0022992,0.25,2024-01-16
786.33,15,0,shopping,0.18,0,3,2445.62,0,0,1,Mumbai,Axis,0,0,TXN0003231,0.321,2024-01-03
3011.84,21,1,fuel,0.1,0,2,1685.86,0,0,0,Mumbai,HDFC,1,0,TXN0041995,1.785,2024-01-30
525.7,10,1,utility,0.04,0,4,732.21,0,0,0,Bengaluru,Kotak,0,0,TXN0049187,0.717,2024-02-04
1246.1,18,2,utility,0.04,0,4,1400.89,0,0,0,Chennai,Yes Bank,0,0,TXN0022514,0.889,2024-01-16
839.93,14,6,shopping,0.18,0,2,753.75,0,0,1,Mumbai,SBI,0,0,TXN0021325,1.113,2024-01-15
1280.0,19,0,entertainment,0.22,0,2,722.29,0,0,0,Pune,Kotak,0,0,TXN0086233,1.77,2024-02-29
1142.1,22,1,shopping,0.18,0,1,425.07,0,0,0,Bengaluru,SBI,0,0,TXN0088126,2.681,2024-03-02
717.92,22,3,transport,0.08,0,5,8977.52,0,0,0,Kolkata,ICICI,0,0,TXN0029823,0.08,2024-01-21
1098.87,19,6,grocery,0.05,0,5,1757.72,0,0,0,Mumbai,SBI,0,0,TXN0092484,0.625,2024-03-05
428.96,21,1,grocery,0.05,0,2,2194.2,0,0,0,Bengaluru,ICICI,0,0,TXN0068424,0.195,2024-02-17
2384.65,22,5,transport,0.08,1,2,2161.47,0,0,1,Hyderabad,ICICI,1,0,TXN0064483,1.103,2024-02-14
340.77,7,2,shopping,0.18,0,3,482.11,0,0,0,Ahmedabad,Yes Bank,0,0,TXN0051019,0.705,2024-02-05
1183.82,18,5,transport,0.08,0,1,785.33,0,0,0,Chennai,ICICI,1,0,TXN0026753,1.506,2024-01-19
436.0,22,6,travel,0.25,0,2,584.74,0,0,0,Chennai,Yes Bank,0,0,TXN0049963,0.744,2024-02-04
1674.7,19,5,utility,0.04,0,5,568.97,0,0,0,Mumbai,SBI,0,0,TXN0042731,2.938,2024-01-30
205.28,7,3,shopping,0.18,0,3,222.55,0,0,0,Delhi,ICICI,0,0,TXN0029056,0.918,2024-01-21
4144.66,9,5,utility,0.04,0,4,686.69,0,0,0,Pune,Kotak,0,0,TXN0055317,6.027,2024-02-08
1202.45,13,6,utility,0.04,0,1,1206.6,0,0,0,Delhi,Kotak,1,0,TXN0035496,0.996,2024-01-25
184.54,12,4,transport,0.08,0,1,424.0,0,0,0,Pune,ICICI,1,0,TXN0056337,0.434,2024-02-09
2090.95,16,6,transport,0.08,0,1,222.37,0,0,0,Kolkata,Kotak,1,0,TXN0079277,9.361,2024-02-25
71.1,13,1,transport,0.08,0,1,950.3,0,0,1,Bengaluru,SBI,1,0,TXN0005464,0.075,2024-01-04
378.27,7,2,grocery,0.05,0,2,582.8,0,0,0,Bengaluru,Yes Bank,0,0,TXN0070155,0.648,2024-02-18
161.48,18,3,education,0.03,0,2,1008.32,0,0,0,Pune,SBI,0,0,TXN0070669,0.16,2024-02-19
577.75,21,6,grocery,0.05,1,1,795.68,0,0,2,Kolkata,HDFC,0,0,TXN0056013,0.725,2024-02-08
1513.9,15,4,transport,0.08,0,2,890.78,0,0,0,Kolkata,ICICI,0,0,TXN0012085,1.698,2024-01-09
855.41,17,6,education,0.03,1,5,891.86,0,0,0,Mumbai,SBI,0,0,TXN0056818,0.958,2024-02-09
4715.42,20,0,healthcare,0.06,0,4,808.89,0,0,0,Pune,HDFC,0,0,TXN0020000,5.822,2024-01-14
3494.24,8,2,utility,0.04,0,2,219.32,0,0,0,Mumbai,ICICI,0,0,TXN0069066,15.86,2024-02-17
1198.12,17,6,food,0.07,0,4,681.18,0,0,0,Bengaluru,HDFC,0,0,TXN0050452,1.756,2024-02-05
398.94,22,3,grocery,0.05,0,1,803.53,0,0,0,Kolkata,Yes Bank,1,0,TXN0090709,0.496,2024-03-03
629.96,21,1,education,0.03,0,2,404.12,0,0,0,Delhi,HDFC,0,0,TXN0052884,1.555,2024-02-06
3380.03,11,5,grocery,0.05,0,1,654.01,0,0,0,Mumbai,Kotak,0,0,TXN0030963,5.16,2024-01-22
3751.22,19,2,travel,0.25,0,5,668.7,0,0,1,Pune,Yes Bank,0,0,TXN0034573,5.601,2024-01-25
2080.54,22,4,food,0.07,0,2,811.15,0,0,0,Delhi,SBI,1,0,TXN0015294,2.562,2024-01-11
1715.35,20,0,healthcare,0.06,0,3,474.63,0,1,0,Bengaluru,Axis,1,0,TXN0027918,3.606,2024-01-20
1145.69,16,6,education,0.03,1,3,579.18,0,0,0,Kolkata,Axis,1,0,TXN0046120,1.975,2024-02-02
3157.92,9,5,healthcare,0.06,0,1,458.05,0,0,0,Bengaluru,Yes Bank,0,0,TXN0035073,6.879,2024-01-25
895.83,17,2,utility,0.04,0,3,1065.78,0,0,0,Mumbai,Axis,0,0,TXN0010550,0.84,2024-01-08
4164.71,20,3,grocery,0.05,0,1,122.54,1,0,2,Bengaluru,HDFC,0,0,TXN0091127,33.711,2024-03-04
1880.19,14,3,food,0.07,1,1,5034.82,0,0,0,Hyderabad,HDFC,1,0,TXN0000690,0.373,2024-01-01
543.36,15,2,healthcare,0.06,0,4,1117.85,0,0,0,Hyderabad,Kotak,0,0,TXN0077729,0.486,2024-02-23
4352.31,11,6,food,0.07,0,3,759.74,0,0,2,Kolkata,Kotak,1,0,TXN0036096,5.721,2024-01-26
4738.21,10,0,utility,0.04,0,3,313.51,0,0,0,Bengaluru,Kotak,0,0,TXN0065351,15.065,2024-02-15
1448.36,16,6,shopping,0.18,0,5,2386.44,0,0,0,Mumbai,Kotak,1,0,TXN0011040,0.607,2024-01-08
7209.11,16,1,shopping,0.18,0,1,923.57,0,0,0,Chennai,Yes Bank,0,0,TXN0004221,7.797,2024-01-03
2269.11,14,2,grocery,0.05,0,5,1265.78,0,0,1,Chennai,Kotak,1,0,TXN0000821,1.791,2024-01-01
114.97,11,0,education,0.03,1,5,892.46,0,0,0,Delhi,HDFC,0,0,TXN0038128,0.129,2024-01-27
410.08,7,0,transport,0.08,0,5,1078.71,0,0,0,Bengaluru,HDFC,0,0,TXN0089151,0.38,2024-03-02
206.8,20,6,utility,0.04,1,4,1301.73,0,0,0,Hyderabad,Yes Bank,0,0,TXN0029231,0.159,2024-01-21
903.87,22,6,healthcare,0.06,0,5,916.65,0,0,0,Ahmedabad,HDFC,0,0,TXN0050556,0.985,2024-02-05
671.59,20,4,healthcare,0.06,0,2,560.27,0,1,2,Kolkata,ICICI,0,0,TXN0033684,1.197,2024-01-24
